pathway_id,entrez_gene_id,pathway_desc
mmu01100,mmu:100039707,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100040843,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100041273,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100041375,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100041585,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100042295,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100042314,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100042503,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043456,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043461,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043497,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043684,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043686,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100043688,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100066,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100163,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100198,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100328588,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100470,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100504710,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100559,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100678,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100705,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100727,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100862375,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:100910,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:101490,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:101502,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:102216272,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:102247,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:102448,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:102580,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:102631912,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103140,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103142,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103149,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103199,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103534,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103711,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103850,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103963,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:103988,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104015,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104086,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104110,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104111,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104112,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104130,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104174,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104418,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104759,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104776,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:104923,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:105349,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:105446,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:105663,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:106529,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:106557,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:106564,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107141,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107239,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107272,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107303348,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107476,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107508,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107569,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107605,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107626,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107650,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107652,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107747,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107766,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107823,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107869,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107885,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:107895,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108037,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108083,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108105,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108147,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108148,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108150,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108156,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108645,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108653,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108664,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108682,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108760,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108841,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:108902,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109079,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109264,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109652,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109674,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109685,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109729085,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109731,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109778,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109785,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109801,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109857,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109900,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:109959,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110006,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110074,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110078,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110095,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110115,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110119,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110147,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110175,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110196,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110197,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110208,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110323,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110385,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110391,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110417,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110446,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110460,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110524,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110593,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110639,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110695,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110821,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110855,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110911,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110935,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:110948,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:112417,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:11298,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:11363,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:11364,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:11370,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:113868,Metabolic pathways - Mus musculus (house mouse)
mmu01100,mmu:11409,Metabolic pathways - Mus musculus (house mouse)
